Name,Type,Detection Method,Mass<br>(M<sub>E</sub>),Radius<br>(R<sub>E</sub>),Flux<br>(S<sub>E</sub>),<i>T<sub>surf</sub></i><br>(K),Period<br>(days),Distance<br>(ly),Age<br>(Gy),ESI,Star
GJ 273 b,M Warm Terran,Radial Velocity,2.89,1.51,1.064476588746966,291.6700194895948,18.6498,12.34846216290474,,0.8546375895745704,GJ 273
GJ 163 c,M Warm Superterran,Radial Velocity,6.8,2.5,1.251825186720362,303.7456203463058,25.63058,49.34251046,6.0,0.6868069550849005,GJ 163
TRAPPIST-1 f,M Warm Terran,Transit,1.039,1.045,0.3735306114175542,224.9048458455353,9.20754,40.540828114528,0.5,0.677112405586451,TRAPPIST-1
GJ 1061 c,M Warm Terran,Radial Velocity,1.74,1.18,1.448571317858297,310.4958039055941,6.689,11.9789923368,7.0,0.8579105793021902,GJ 1061
HN Lib b,M Warm Superterran,Radial Velocity,5.46,2.2,0.5053819910495633,242.2818673718972,36.116,20.3665504952,4.4,0.6474514925735746,HN Lib
Kepler-1638 b,G Warm Superterran,Transit,4.16,1.87,1.385758191588865,312.1385328022981,259.33683,4975.5750112,4.37,0.7570641135411034,Kepler-1638
Kepler-1652 b,M Warm Terran,Transit,3.19,1.6,0.841257578421338,275.5229428119624,38.09722,821.9131199999999,3.2,0.8258056945095709,Kepler-1652
Kepler-186 f,M Warm Terran,Transit,1.71,1.17,0.2947000572382695,211.9045098682499,129.9441,579.2334866399999,4.0,0.6108342013890882,Kepler-186
Kepler-1229 b,M Warm Terran,Transit,2.54,1.4,0.3243560832703989,217.1106026765632,86.828989,865.88547192,3.72,0.62049438782617,Kepler-1229
Kepler-155 c,M Warm Superterran,Transit,5.65,2.24,1.052856706955608,291.4189828588866,52.661793,957.26459844,2.9,0.728767145506394,Kepler-155
GJ 180 d,M Warm Superterran,Radial Velocity,7.56,2.66,0.2602443980990179,204.7205672802464,106.3,38.945309492,,0.475466399218914,GJ 180
GJ 1002 c,M Warm Terran,Radial Velocity,1.36,1.1,0.2581590037033207,205.067737602367,21.202,15.8142281252,,0.5817152529716992,GJ 1002
HD 40307 g,K Warm Superterran,Radial Velocity,7.1,2.56,0.6664590500042545,255.7196682856674,197.8,42.19251862799999,4.5,0.6593528035498593,HD 40307
GJ 1061 d,M Warm Terran,Radial Velocity,1.64,1.16,0.686780310851125,246.5756326354671,13.031,11.9789923368,7.0,0.8586351119602917,GJ 1061
Kepler-296 e,M Warm Terran,Transit,2.96,1.53,1.00060661330768,281.6348027737593,34.14211,544.68052,4.2,0.8518707588189728,Kepler-296
K2-72 e,M Warm Terran,Transit,2.21,1.29,1.303262132935844,306.685393152554,24.158868,216.672280076,,0.8708235731580869,K2-72
Kepler-443 b,K Warm Superterran,Transit,6.04,2.33,0.8900883349260323,278.8004208612754,177.6693,2616.65500276,3.2,0.7146042366211369,Kepler-443
K2-332 b,M Warm Superterran,Transit,5.48,2.2,1.16654249688907,298.9858686507328,17.70632,401.83071512,,0.7293212064959401,K2-332
Ross 508 b,M Warm Superterran,Radial Velocity,4.0,1.83,1.320490987652004,301.8591463135429,10.77,36.563066068,,0.7707707213264158,Ross 508
Wolf 1069 b,M Warm Terran,Radial Velocity,1.26,1.08,0.6520208053869847,258.5180578097902,15.564,31.2568667196,,0.8485934799055707,Wolf 1069
