Name,Type,Detection Method,Mass<br>(M<sub>E</sub>),Flux<br>(S<sub>E</sub>),<i>T<sub>surf</sub></i><br>(K),Period<br>(days),Age<br>(Gy),ESI,Star,P_DISCOVERY_FACILITY,P_YEAR,P_RADIUS,S_RA,S_DEC,S_DISTANCE
GJ 514 b,M Warm Superterran,Radial Velocity,5.2,0.2700907757332474,198.9284556040379,140.43,0.8,0.5201008375321021,GJ 514,Multiple Observatories,2022,2.13,202.50404,10.372539,7.61778
Kepler-62 f,K Warm Terran,Transit,35.0,0.4071468803825863,229.8070241269592,267.291,7.0,0.6787140844078122,Kepler-62,Kepler,2013,1.41,283.21256,45.349699,300.874
TOI-715 b,M Warm Terran,Transit,3.02,0.7125967138229101,264.3239251373151,19.288004,6.2,0.8067602540204043,TOI-715,Transiting Exoplanet Survey Satellite (TESS),2023,1.55,113.85233,-73.577409,42.4048
GJ 667 C c,M Warm Superterran,Radial Velocity,3.8,0.8775398558709887,278.4259152810632,28.14,2.0,0.7981014007944902,GJ 667 C,La Silla Observatory,2013,1.77,259.75106,-34.997765,7.24396
K2-288 B b,M Warm Superterran,Transit,4.27,0.436829846423085,233.8856609951522,31.393463,1.0,0.6464881419295536,K2-288 B,K2,2018,1.9,55.444286,18.268491,65.6138
Kepler-22 b,G Warm Superterran,Transit,9.1,1.411057470629106,275.418076598015,289.863876,7.0,0.72163259984665,Kepler-22,Kepler,2011,2.1,289.21721,47.884143,194.642
Proxima Cen b,M Warm Terran,Radial Velocity,1.07,0.6784682362017355,261.0810336683397,11.1868,,0.86414229331664,Proxima Cen,European Southern Observatory,2016,1.03,217.39347,-62.676182,1.30119
K2-3 d,M Warm Terran,Transit,2.2,1.454409660819314,315.4427259618852,44.55603,6.9,0.8142638226173193,K2-3,K2,2015,1.458,172.33537,-1.4551364,44.0727
Kepler-174 d,K Warm Superterran,Transit,5.43,0.5872495093975978,251.843755355038,247.35373,4.9,0.6784561501442405,Kepler-174,Kepler,2014,2.19,287.43895,43.832005,384.757
Kepler-440 b,K Warm Superterran,Transit,4.12,1.435637854226977,307.8069312277451,101.11141,1.3,0.7526026313450855,Kepler-440,Kepler,2015,1.86,285.35007,41.45237,301.03
Kepler-442 b,K Warm Terran,Transit,2.36,0.699682638644652,263.0391661405113,112.3053,2.9,0.8382420225025671,Kepler-442,Kepler,2015,1.34,285.3666,39.28007,365.965
Ross 128 b,M Warm Terran,Radial Velocity,1.4,1.482444411453575,316.6417140251464,9.8658,5.0,0.8577206656471901,Ross 128,La Silla Observatory,2017,1.11,176.9376,0.7992898,3.37454
TOI-2257 b,M Warm Superterran,Transit,5.45,0.7440171228596921,253.7007171889206,35.189346,,0.716019791068774,TOI-2257,Transiting Exoplanet Survey Satellite (TESS),2021,2.194,194.73961,77.661716,57.7911
GJ 229 A c,M Warm Superterran,Radial Velocity,8.58137,0.4370866808747376,227.7645573585606,121.93268,0.4,0.560159894288723,GJ 229 A,Multiple Facilities,2020,2.87,92.643599,-21.867723,5.75624
GJ 273 b,M Warm Terran,Radial Velocity,2.89,1.064476588746966,291.6700194895948,18.6498,,0.8546375895745704,GJ 273,La Silla Observatory,2017,1.51,111.85209,5.225807,3.7860601
GJ 163 c,M Warm Superterran,Radial Velocity,6.8,1.251825186720362,303.7456203463058,25.63058,6.0,0.6868069550849005,GJ 163,La Silla Observatory,2013,2.5,62.322835,-53.371177,15.1285
TRAPPIST-1 f,M Warm Terran,Transit,1.039,0.3735306114175542,224.9048458455353,9.20754,0.5,0.677112405586451,TRAPPIST-1,Multiple Observatories,2017,1.045,346.62639,-5.0434618,12.429889
GJ 1061 c,M Warm Terran,Radial Velocity,1.74,1.448571317858297,310.4958039055941,6.689,7.0,0.8579105793021902,GJ 1061,La Silla Observatory,2020,1.18,54.003249,-44.51431,3.67278
HN Lib b,M Warm Superterran,Radial Velocity,5.46,0.5053819910495633,242.2818673718972,36.116,4.4,0.6474514925735746,HN Lib,Calar Alto Observatory,2023,2.2,218.56848,-12.517006,6.24442
Kepler-1638 b,G Warm Superterran,Transit,4.16,1.385758191588865,312.1385328022981,259.33683,4.37,0.7570641135411034,Kepler-1638,Kepler,2016,1.87,295.48233,48.52447,1525.52
Kepler-1652 b,M Warm Terran,Transit,3.19,0.841257578421338,275.5229428119624,38.09722,3.2,0.8258056945095709,Kepler-1652,Kepler,2017,1.6,294.36603,49.915022,252.0
Kepler-186 f,M Warm Terran,Transit,1.71,0.2947000572382695,211.9045098682499,129.9441,4.0,0.6108342013890882,Kepler-186,Kepler,2014,1.17,298.65274,43.954988,177.594
Kepler-1229 b,M Warm Terran,Transit,2.54,0.3243560832703989,217.1106026765632,86.828989,3.72,0.62049438782617,Kepler-1229,Kepler,2016,1.4,297.48683,46.996678,265.482
Kepler-155 c,M Warm Superterran,Transit,5.65,1.052856706955608,291.4189828588866,52.661793,2.9,0.728767145506394,Kepler-155,Kepler,2014,2.24,288.49578,51.081929,293.499
GJ 180 d,M Warm Superterran,Radial Velocity,7.56,0.2602443980990179,204.7205672802464,106.3,,0.475466399218914,GJ 180,Multiple Facilities,2020,2.66,73.460097,-17.776194,11.9407
GJ 1002 c,M Warm Terran,Radial Velocity,1.36,0.2581590037033207,205.067737602367,21.202,,0.5817152529716992,GJ 1002,Multiple Observatories,2022,1.1,1.6764641,-7.5462123,4.84867
HD 40307 g,K Warm Superterran,Radial Velocity,7.1,0.6664590500042545,255.7196682856674,197.8,4.5,0.6593528035498593,HD 40307,La Silla Observatory,2013,2.56,88.517219,-60.023729,12.9363
GJ 1061 d,M Warm Terran,Radial Velocity,1.64,0.686780310851125,246.5756326354671,13.031,7.0,0.8586351119602917,GJ 1061,La Silla Observatory,2020,1.16,54.003249,-44.51431,3.67278
Kepler-296 e,M Warm Terran,Transit,2.96,1.00060661330768,281.6348027737593,34.14211,4.2,0.8518707588189728,Kepler-296,Kepler,2014,1.53,286.54003,49.437261,167.0
K2-72 e,M Warm Terran,Transit,2.21,1.303262132935844,306.685393152554,24.158868,,0.8708235731580869,K2-72,K2,2016,1.29,334.62275,-9.6120084,66.4321
Kepler-443 b,K Warm Superterran,Transit,6.04,0.8900883349260323,278.8004208612754,177.6693,3.2,0.7146042366211369,Kepler-443,Kepler,2015,2.33,288.61048,49.968546,802.271
K2-332 b,M Warm Superterran,Transit,5.48,1.16654249688907,298.9858686507328,17.70632,,0.7293212064959401,K2-332,K2,2016,2.2,135.88327,14.250499,123.202
Ross 508 b,M Warm Superterran,Radial Velocity,4.0,1.320490987652004,301.8591463135429,10.77,,0.7707707213264158,Ross 508,Subaru Telescope,2022,1.83,230.9613,17.460535,11.2103
Wolf 1069 b,M Warm Terran,Radial Velocity,1.26,0.6520208053869847,258.5180578097902,15.564,,0.8485934799055707,Wolf 1069,Calar Alto Observatory,2023,1.08,306.52425,58.575304,9.58341
